mhw,Thw,Thwi,Tcw,Tcwi,mcw,Tcwo,Thwo
6,55.5,59.7,9.5,14.6,2.9,23.8,40
6,64.8,60.3,26.8,15.1,10.2,41.3,47.1
6,63.8,60,15.8,14.8,6.4,32.1,42.7
6,0.7,0.09,1.8,0.07,2,4.31,1.9
6,-1.2,0.8,3.3,1,-0.04,0.6,0.7
6,2,0.08,1.1,2.2,-1.1,0.5,-0.6
7,59.2,59.9,15.8,14.6,2.9,27.1,41.2
7,64.9,60.3,26.6,15.5,10.2,42.2,48.7
7,63.6,59.9,15.8,14.9,6.8,32.7,43.8
7,0.4,0.08,1.7,0.08,2.3,4.6,2.1
7,-1.6,0.3,2.7,1.4,-0.1,0.7,0.9
7,0.4,0.08,1.7,0.08,2.3,-0.5,-0.3
8,57,59.8,14.9,14.6,2.9,28.1,42.7
8,64.6,60.4,26.1,15.1,10.1,43.3,49.5
8,63.5,60,15.5,14.9,6.2,34.8,45.6
8,0.8,0.1,1,0.1,2.1,4.6,2.1
8,-3.9,0.3,2.7,0.1,0.1,0.4,0.5
8,1.4,-0.9,3.3,-1.6,-0.9,-0.9,-0.9
9,59.5,59.7,14.9,14.6,3,29.3,43.7
9,63.9,60.3,28.6,16,10.1,44.2,50.5
9,63.3,60,15.7,14.9,6.3,35.1,46.2
9,0.5,0.09,1.9,0.1,1.8,3.6,1.6
9,-3.9,-0.1,5.5,1.8,0.1,0.5,0.6
9,0.5,0.09,1.9,0.1,1.8,-0.4,-0.3
10,58.6,59.8,14.9,14.5,3,29.8,44.7
10,65.2,60.4,28,15.1,10,45.1,51.3
10,63.5,60,15.4,14.8,6.2,36.6,47.6
10,0.7,0.1,1.2,0.07,2.07,4.3,1.7
10,-2.1,-0.1,2.9,1.5,0.2,0.3,0.3
10,0.7,0.1,1.2,0.07,2,-0.8,-0.6
11,62.2,59.8,15.1,14.8,5.9,35.2,47.2
11,63.7,60.2,15.7,15.2,6.8,36.8,48.2
11,63.2,60,15.4,15,6.1,36.2,47.8
11,0.3,0.1,0.1,0.1,0.2,0.5,0.2
11,-1.1,-0.02,0.5,-0.8,0.8,-0.6,-0.6
11,0.2,-0.9,-1.3,-1.1,-1.2,-1.3,-1.2
12,60.2,59.6,15.1,14.8,2.9,33.1,46.8
12,63.7,60.1,29.4,15.3,8.1,44.2,52.7
12,63.2,59.9,16.5,14.9,5.6,37.3,49.4
12,0.4,0.09,3.1,0.1,1.5,3.2,1.5
12,-3.6,0.4,3.4,0.1,-0.3,0.7,0.5
12,1.3,-1,1.1,-0.9,-0.9,-0.4,-0.6
